zero_absz,zero_frequency,zero_phasez,one_absz,one_frequency,one_phasez,two_absz,two_frequency,two_phasez,three_absz,three_frequency,three_phasez,four_absz,four_frequency,four_phasez,five_absz,five_frequency,five_phasez
996.445,11.2666196372402,0.0036631369082335027,99.9147,11.2666196372402,0.0027692711816278567,1006050,11.2666196372402,-0.013366646994166,99.9079,11.2666196372402,-0.4142989061655567,40.3618,11.2666196372402,0.8502808271300443,3.86605,21.5792625368749,1.1980318313067462
996.46,11.2910760208251,0.003030769119325564,99.9162,11.2910760208251,0.001552102559963741,1006050,11.2910760208251,-0.013315138088383742,99.9075,11.2910760208251,-0.41561842796774295,40.3622,11.2910760208251,0.8529393512994513,3.86754,21.6091019211717,1.1992006652088132
996.435,11.3155856951153,0.0023465543795362378,99.918,11.3155856951153,0.00258358701938186,1006030,11.3155856951153,-0.01304355609349173,99.9075,11.3155856951153,-0.41620169900318615,40.3627,11.3155856951153,0.8535237682504847,3.86864,21.6389826590557,1.2006846258982018
996.454,11.3401484469478,0.0032825210449280964,99.9175,11.3401484469478,0.002273972086049065,1006040,11.3401484469478,-0.013482957426577558,99.9059,11.3401484469478,-0.4166279796027635,40.3619,11.3401484469478,0.8551681571225102,3.86729,21.6689045373641,1.2017445978191938
996.459,11.3647644894854,0.003931768170480589,99.9154,11.3647644894854,0.001768600392431874,1006040,11.3647644894854,-0.013273025690441627,99.907,11.3647644894854,-0.4182471583318032,40.3619,11.3647644894854,0.8574141516794229,3.86619,21.6988679824226,1.2031426148393132
996.45,11.3894340358911,0.0031068579145189378,99.9165,11.3894340358911,0.0012664888286689768,1006040,11.3894340358911,-0.0127981582698372,99.9057,11.3894340358911,-0.4188046462664655,40.3628,11.3894340358911,0.8599924617575118,3.86763,21.7288727810683,1.2060761587503828
996.454,11.4141570861648,0.003966563897378884,99.915,11.4141570861648,0.002645294573917449,1006030,11.4141570861648,-0.013400394208299206,99.9054,11.4141570861648,-0.4199373838274391,40.3626,11.4141570861648,0.8610237857887472,3.86928,21.758919146464,1.207010079956446
996.448,11.4389338534693,0.0031060042074041922,99.914,11.4389338534693,0.002015642604958431,1006030,11.4389338534693,-0.013355073246704359,99.9065,11.4389338534693,-0.42193643357465055,40.3624,11.4389338534693,0.8636536620683978,3.8696,21.7890068654469,1.2086831167182281
996.455,11.4637643378046,0.0036005584578493147,99.9144,11.4637643378046,0.0022449460441477374,1006030,11.4637643378046,-0.013402399560582165,99.9045,11.4637643378046,-0.4218401766650686,40.3623,11.4637643378046,0.8651891889593483,3.86894,21.8191363643427,1.2106483619555268
996.442,11.4886487523336,0.00360224868334495,99.9169,11.4886487523336,0.001886486458780041,1006030,11.4886487523336,-0.01329302191749169,99.9039,11.4886487523336,-0.42259533503905106,40.3615,11.4886487523336,0.8671372454627931,3.86872,21.8493074299886,1.212321398717309
